wateryear,region,surfdiv,pumping,et,gwstor,model
1975,1,53.54345897,0.132873612,533.5562688,-98.48913278,cvhm
1976,1,64.96822005,0.778900668,598.2124173,-429.8443397,cvhm
1977,1,61.95552317,0.915457547,545.2376033,-439.6745482,cvhm
1978,1,53.63397812,0,600.7800382,305.3273987,cvhm
1979,1,53.18785391,0.744761348,508.349941,-183.7851168,cvhm
1980,1,55.06607403,1.017599304,625.5941562,18.39426279,cvhm
1981,1,52.60538769,0.782567351,545.289627,-116.8536702,cvhm
1982,1,45.4961438,0,684.1506331,119.321641,cvhm
1983,1,44.18207205,0,688.1397352,445.6435836,cvhm
1984,1,54.62202007,0.269028181,478.0129036,-46.84700405,cvhm
1985,1,56.5441741,0,540.8201154,-274.1092855,cvhm
1986,1,53.32643026,0,627.8571246,74.38451791,cvhm
1987,1,66.19575443,0,398.2378464,-255.5316576,cvhm
1988,1,60.86897543,2.591235098,516.6304629,-140.3199984,cvhm
1989,1,49.74847144,0,598.9165568,-96.90129134,cvhm
1990,1,56.24633142,1.279417354,634.0337901,-298.6447753,cvhm
1991,1,62.80280483,0,440.764941,-272.6531482,cvhm
1992,1,57.34865395,0,554.5411468,-148.797164,cvhm
1993,1,7.419223998,0,728.7042583,167.365929,cvhm
1994,1,11.69507907,0,473.9822481,-248.8397627,cvhm
1995,1,8.800055632,0,533.4815485,507.1667855,cvhm
1996,1,7.897898638,0,538.7981715,56.78198828,cvhm
1997,1,7.505761927,0,434.906708,-48.10046947,cvhm
1998,1,5.120773367,0,660.3449255,406.4810026,cvhm
1999,1,39.98617584,0,485.6293968,-192.2134043,cvhm
2000,1,31.5501176,0,596.1268856,-117.668046,cvhm
2001,1,41.90551282,0,542.6734967,-284.8381168,cvhm
2002,1,46.4889359,0.091653544,406.7967362,-114.4686982,cvhm
2003,1,35.50534987,0,551.8673347,10.14992136,cvhm
1975,2,153.7938106,551.8325982,1248.090144,-81.79967014,cvhm
1976,2,116.0494759,638.032234,1237.705722,-753.7086901,cvhm
1977,2,42.06372775,725.5893894,1231.76146,-757.9075785,cvhm
1978,2,130.950496,509.9393586,1368.895216,501.6654522,cvhm
1979,2,136.5468516,561.0143659,1239.99823,-224.8434229,cvhm
1980,2,153.3918981,456.4322081,1338.919309,209.1853586,cvhm
1981,2,142.8137908,527.7750754,1284.142636,-201.632427,cvhm
1982,2,136.7533262,394.8179135,1449.13653,229.9321513,cvhm
1983,2,112.6424922,377.7929111,1468.618189,890.5216485,cvhm
1984,2,153.190982,490.4822129,1099.121487,80.63839113,cvhm
1985,2,148.614815,492.9143561,1219.440622,-428.3084746,cvhm
1986,2,158.6039607,458.8643513,1369.427152,220.5258244,cvhm
1987,2,143.3794082,569.9322243,1122.489283,-518.7484747,cvhm
1988,2,144.4099596,581.2822259,1221.851552,-273.1562159,cvhm
1989,2,129.6675819,514.803645,1338.658139,-334.1045944,cvhm
1990,2,121.3697576,556.9607939,1260.622417,-495.2008792,cvhm
1991,2,102.4599249,612.9000876,1160.459171,-380.8546519,cvhm
1992,2,100.7872269,615.3322308,1279.367,-182.3158999,cvhm
1993,2,112.4244857,547.232221,1424.089829,347.2182976,cvhm
1994,2,126.1878682,668.8393813,1279.823136,-419.6596776,cvhm
1995,2,108.3431488,525.3429322,1287.502169,1044.847039,cvhm
1996,2,115.8374931,592.6322275,1307.757122,25.72477158,cvhm
1997,2,117.2283395,584.5250835,1197.991142,-111.2046286,cvhm
1998,2,95.238267,423.1929176,1451.881079,1043.506033,cvhm
1999,2,126.8118004,400.4929144,1147.548387,-337.6490692,cvhm
2000,2,118.9703226,393.1964847,1235.682234,-170.1622978,cvhm
2001,2,133.5542391,413.4643448,1218.830043,-342.0882222,cvhm
2002,2,136.1353413,470.2143529,1041.350816,-115.8125003,cvhm
2003,2,97.02156248,409.4107728,1284.564378,42.94663251,cvhm
1975,3,671.0693988,25.15804873,1204.951127,3.671794725,cvhm
1976,3,805.2084386,118.4128935,1229.205439,-555.5491521,cvhm
1977,3,750.2812183,169.6503689,1316.305333,-533.4295969,cvhm
1978,3,739.3340512,2.499346339,1325.881246,418.8717986,cvhm
1979,3,743.092136,0.429107,1266.526172,-27.30781279,cvhm
1980,3,680.0839724,3.62493891,1243.263892,315.9817869,cvhm
1981,3,708.3825432,12.84677872,1248.758551,-141.4679522,cvhm
1982,3,564.2527431,0,1278.865403,298.6127055,cvhm
1983,3,513.1288782,0,1232.97004,729.3611054,cvhm
1984,3,615.7092703,0,1131.719763,92.61702818,cvhm
1985,3,650.156397,3.841014013,1190.423427,-271.6699518,cvhm
1986,3,592.1294006,0,1207.882237,209.0539235,cvhm
