region,shortage,shadow
1,2438.81257,38.72764176
1,4877.62514,39.53322715
1,7316.43772,40.42832203
1,9755.25029,41.42872219
1,12194.06286,42.55417237
1,14632.87544,43.82968257
1,17071.68801,45.28740852
1,19510.50059,46.9694
1,21949.31316,48.93172339
1,24388.12573,51.25083285
1,26826.93831,54.03376421
1,29265.75088,57.43512475
2,20491.364,54.42969568
2,40982.728,55.8030313
2,61474.0919,89.52134578
2,81965.4559,92.32745725
2,102456.8198,95.48433265
2,122948.1837,99.06212478
2,143439.5477,103.1510301
2,163930.9116,107.8689977
2,184422.2756,113.3732933
2,204913.6395,119.8783699
2,225405.0035,127.6844618
2,245896.3674,249.8364425
3,48101.7202,79.749959
3,96203.4404,82.73107333
3,144305.1606,86.04342257
3,158950.6412,93.63099775
3,173596.1218,95.83913731
3,188241.6023,98.48009138
3,202887.0829,144.8554454
3,217532.5634,150.6791391
3,265634.2836,151.7977772
3,280279.7642,157.2793253
3,294925.2447,165.194077
3,343026.9648,195.7391558
3,391128.685,233.2135197
3,439230.4052,251.5843821
3,487332.1254,260.4638674
3,535433.8456,265.4506208
3,583535.5658,268.6255832
3,631637.286,271.0920843
3,646282.7665,271.8806007
3,694384.4866,273.2903768
3,709029.9672,296.413661
3,723675.4477,396.0962928
3,738320.9283,497.7417386
3,752966.4088,726.5979668
4,43195.2334,61.85071148
4,86390.4668,63.87998871
4,129585.7002,66.13474119
4,172780.9337,68.65475867
4,215976.1671,71.48977833
4,259171.4005,163.3758021
4,302366.6339,218.0002125
4,345561.8673,244.8275104
4,388757.1007,256.685242
4,431952.3341,262.2789152
4,475147.5676,265.5512069
4,518342.801,268.0237939
5,65252.876,32.8949215
5,130505.752,37.53055847
5,195758.628,61.24892988
5,261011.504,63.82917767
5,326264.381,66.73195643
5,391517.257,70.02177237
5,456770.1332,185.2994941
5,522023.0095,225.7929621
5,587275.8858,247.5599587
5,652528.762,257.5250522
5,717781.6383,262.0648518
5,783034.5146,264.8492528
6,40062.6471,71.65203511
6,80125.2942,80.84839378
6,120187.9413,144.086441
6,160250.5884,157.104904
6,200313.2355,182.3013777
6,240375.8825,216.5540173
6,280438.5296,236.1367238
6,320501.1767,263.9719082
6,360563.8238,289.6360516
6,400626.4709,315.4141477
6,440689.118,336.4702933
6,480751.765,372.5316676
7,22073.904,72.34731244
7,44147.808,79.2684337
7,66221.712,130.4614193
7,88295.616,149.7347759
7,110369.52,161.9941978
7,132443.4239,177.2509934
7,154517.3279,189.4063483
7,176591.2319,195.9964594
7,198665.1359,200.1713532
